true_label,num_samples
Artefact,880
Biddulphianae,880
Chaetoceros,880
Remnant,880
Lauderia+Melosira+Detonula,880
Trieres_sinensis,880
Synedra+Thalassionema,880
Phytoplankton_Colony,880
Rhizosolenia,880
Rhizosolenia_setigera_(f._pungens)+R._hebetata_f._semispina,880
Pseudo-nitzschia,880
Fibers,880
Ditylum_brightwellii,880
Bellerochea,879
Bacillariophyceae,879
Egg+Cyst,879
Crustaceae-part,879
Detritus,879
Pennate_Diatom,879
Centric_Diatom,879
Guinardia_flaccida,879
Nauplii,876
Zygoceros,873
Eucampia,832
Asterionella,826
Guinardia_delicatula,754
Guinardia_striata+Dactyliosolen_phuketensis,734
Helicotheca_tamesis,708
Tripos_fusus,693
Hobaniella_longicruris,659
Stephanopyxis,573
Bubbles,536
Paralia,524
Proboscia_indica,523
Noctilucales,519
Bacillaria_paxillifer,393
Bacteriastrum,377
Trieres_mobiliensis+T._regia,341
Bacillariophyceae_type1_colony,310
Dinoflagellata,264
Thalassiosira+Porosira,247
Lithodesmium_undulatum,242
Neocalyptrella_robusta,214
Faecal_pellet,207
Chaetoceros_curvisetus+C._pseudocurvisetus,199
Skeletonema,192
Actinoptychus,189
Protoperidinium,177
Chaetoceros_danicus,160
Dactyliosolen+Cerataulina+Guinardia,120
Suctoria,108
Mollusca,106
Zooplankton,104
Tripos,96
Copepoda_adult,90
Peritrichia,90
Favella,81
Ciliophora,79
Bellerochea_horologicalis,72
Meuniera_membranacea,68
Proboscia_alata,66
Triceratium_favus,64
Stellarima_stellaris+Podosira+Hyalodiscus,63
Dinoflagellate_cyst,58
Veliger_larvae_D-shaped,48
Diploneis,47
Tintinnina,47
Actinoptychus_splendens,46
Coscinodiscus_granii,42
Odontella_aurita+Ralfsiella_minima,40
Aulacodiscus_argus,37
Actinoptychus_senarius,36
Noctiluca_scintillans,36
Rotifera,34
Biddulphia_alternans,34
Leptocylindraceae,31
Crustacea,30
Pollen,30
Brockmanniella_brockmannii,28
Porifera_spicule,28
Polychaeta,26
Ceratium_horridum+C._longipes,25
Appendicularia,23
Chaetoceros_socialis,22
Pennate_Diatom_colony,20
Tintinnopsis,19
Odontella_rhombus_f._trigona,16
Cerataulus_granulata,14
Melosira,13
Cnidaria,13
Chaetoceros_affinis,11
Coscinodiscus_concinnus,11
Foraminifera,11
Protoperidinium_pentagonum,11
Plagiogrammopsis+Bellerochea_malleus,10
